Candidate,Start,Stop
Bernie Sanders,4/30/2015,7/12/2016
Jim Webb,7/2/2015,10/20/2015
Hillary Clinton,4/12/2015,11/8/2016
Martin O'Malley,5/30/2015,2/1/2016
Lincoln Chafee,6/3/2015,10/23/2015
Marco Rubio,4/13/2015,3/15/2016
Jeb Bush,6/15/2015,2/20/2016
Ted Cruz,3/23/2015,5/3/2016
Chris Christie,6/30/2015,2/10/2016
Scott Walker,7/13/2015,9/21/2015
John Kasich,7/21/2015,5/4/2016
Mike Huckabee,1/3/2015,2/1/2016
Bobby Jindal,6/24/2015,11/17/2015
Rick Perry,6/4/2015,9/12/2015
Rand Paul,4/7/2015,2/3/2016
Ben Carson,5/4/2015,3/1/2016
Carly Fiorina,5/4/2015,2/10/2016
George Pataki,5/28/2015,12/29/2015
Lindsey Graham,6/1/2015,12/21/2015
Rick Santorum,5/27/2015,2/4/2016
Donald Trump,6/16/2015,11/8/2016
Jim Gilmore,7/30/2015,2/12/2016
